Mes,Ventas
2023-01,255077191
2023-02,210246296
2023-03,308383083
2023-04,323318928
2023-05,385620661
2023-06,428740058
2023-07,503038787
2023-08,487871267
2023-09,463227569
2023-10,546740188
2023-11,722015063
2023-12,1286232273
